date,hour,farm_power_MW,price_EUR_MWh,store_decision
2024-01-19,6,167.07706301879884,87.17,0
2024-01-19,7,159.41061453437806,104.27,0
2024-01-19,8,158.55597558116912,103.06,0
2024-01-19,9,166.81484600830078,95.15,0
2024-01-19,10,167.44090649414062,86.36,0
2024-01-19,11,165.73490105724335,76.83,0
2024-01-19,12,166.95106338500977,73.35,0
2024-01-19,13,167.50662533569337,75.21,0
2024-01-19,14,168.28481813049316,77.45,0
2024-01-19,15,168.29999999999998,84.69,0
2024-01-19,16,168.29999999999998,93.6,0
2024-01-19,17,168.29999999999998,91.7,0
2024-01-19,18,168.29999999999998,82.23,0
2024-01-19,19,168.29999999999998,74.0,0
2024-01-19,20,168.29999999999998,71.12,0
2024-01-19,21,168.29999999999998,68.64,0
2024-01-19,22,168.29999999999998,64.75,0
2024-01-19,23,168.29999999999998,66.0,0
2024-01-20,0,168.29999999999998,63.45,0
2024-01-20,1,168.29999999999998,63.54,0
2024-01-20,2,168.29999999999998,61.82,0
2024-01-20,3,168.29999999999998,61.85,0
2024-01-20,4,168.29999999999998,61.75,0
2024-01-20,5,168.29999999999998,62.59,0
2024-01-20,6,168.29999999999998,66.9,0
2024-01-20,7,168.29999999999998,74.82,0
2024-01-20,8,168.29999999999998,77.9,0
2024-01-20,9,168.2818026123047,71.8,0
2024-01-20,10,167.86678482055663,70.77,0
2024-01-20,11,168.2169894962311,67.73,0
2024-01-20,12,168.2237006778717,68.78,0
2024-01-20,13,168.1203140258789,73.39,0
2024-01-20,14,168.00312670898438,79.11,0
2024-01-20,15,168.02809597778318,87.8,0
2024-01-20,16,168.2071216506958,94.93,0
2024-01-20,17,168.20498773384094,99.87,0
2024-01-20,18,168.18771533203125,91.57,0
2024-01-20,19,167.94370971679686,81.97,0
2024-01-20,20,167.51546099853516,75.74,0
2024-01-20,21,166.68218655395506,74.68,0
2024-01-20,22,167.05678784179688,69.13,0
2024-01-20,23,167.74449252319337,66.83,0
2024-01-21,0,167.39526828002928,57.55,0
2024-01-21,1,167.87177462768554,55.15,0
2024-01-21,2,168.21872536468507,50.89,0
2024-01-21,3,168.24401097106934,48.51,0
2024-01-21,4,168.2493751888275,47.45,0
2024-01-21,5,168.29039829826354,45.53,0
2024-01-21,6,168.29999999999998,43.96,0
2024-01-21,7,168.29999999999998,51.36,0
2024-01-21,8,168.29999999999998,54.36,0
2024-01-21,9,168.29999999999998,46.06,0
2024-01-21,10,168.29999999999998,48.67,0
2024-01-21,11,168.29999999999998,38.48,0
2024-01-21,12,168.29999999999998,37.69,0
2024-01-21,13,168.29999999999998,44.3,0
2024-01-21,14,168.29999999999998,49.04,0
2024-01-21,15,168.29999999999998,49.83,0
2024-01-21,16,168.29999999999998,56.65,0
2024-01-21,17,168.29999999999998,61.45,0
2024-01-21,18,168.29999999999998,58.64,0
2024-01-21,19,168.29999999999998,51.5,0
2024-01-21,20,168.29999999999998,52.46,0
2024-01-21,21,168.29999999999998,50.39,0
2024-01-21,22,168.29999999999998,39.46,0
2024-01-21,23,168.29999999999998,36.66,0
2024-01-22,0,168.29999999999998,22.24,1
2024-01-22,1,168.29999999999998,18.62,1
2024-01-22,2,168.29999999999998,5.04,1
2024-01-22,3,168.29999999999998,5.06,1
2024-01-22,4,168.29999999999998,20.0,1
2024-01-22,5,168.29999999999998,40.5,0
2024-01-22,6,168.29999999999998,60.47,0
2024-01-22,7,168.29999999999998,66.48,0
2024-01-22,8,168.29999999999998,57.58,0
2024-01-22,9,168.29999999999998,61.55,0
2024-01-22,10,168.29999999999998,60.6,0
2024-01-22,11,168.29999999999998,56.92,0
2024-01-22,12,168.29999999999998,56.72,0
2024-01-22,13,168.29999999999998,58.23,0
2024-01-22,14,168.29999999999998,59.73,0
2024-01-22,15,168.29999999999998,59.99,0
2024-01-22,16,168.29999999999998,70.94,0
2024-01-22,17,168.29999999999998,77.35,0
2024-01-22,18,168.29999999999998,71.99,0
2024-01-22,19,168.29999999999998,66.65,0
2024-01-22,20,168.29999999999998,57.0,0
2024-01-22,21,168.29999999999998,55.89,0
2024-01-22,22,168.29999999999998,49.88,0
2024-01-22,23,168.29999999999998,16.23,1
2024-01-23,0,168.29999999999998,10.1,1
2024-01-23,1,168.29999999999998,9.37,1
2024-01-23,2,168.29999999999998,4.17,1
2024-01-23,3,168.29999999999998,10.22,1
2024-01-23,4,168.29999999999998,39.23,0
2024-01-23,5,168.29999999999998,59.76,0
2024-01-23,6,168.29999999999998,76.42,0
2024-01-23,7,168.29999999999998,69.82,0
2024-01-23,8,168.29999999999998,69.93,0
2024-01-23,9,168.29999999999998,59.97,0
2024-01-23,10,168.22346361923218,59.8,0
2024-01-23,11,167.37753469848633,59.14,0
2024-01-23,12,160.92673536872866,59.43,0
2024-01-23,13,161.13125462150575,62.7,0
2024-01-23,14,164.48861778831483,74.63,0
2024-01-23,15,167.88077215576172,78.95,0
2024-01-23,16,167.82811459350586,81.59,0
2024-01-23,17,167.98795806884766,84.51,0
2024-01-23,18,168.22199379730225,74.55,0
2024-01-23,19,168.29999999999998,61.95,0
2024-01-23,20,168.29999999999998,53.74,0
2024-01-23,21,168.29999999999998,45.36,0
2024-01-23,22,168.29999999999998,33.26,0
2024-01-23,23,168.29999999999998,3.05,1
2024-01-24,0,168.29999999999998,-0.03,1
2024-01-24,1,168.29999999999998,-0.64,1
2024-01-24,2,168.29999999999998,-4.41,1
2024-01-24,3,168.29999999999998,-4.84,1
2024-01-24,4,168.29999999999998,-0.18,1
2024-01-24,5,168.29999999999998,14.76,1
2024-01-24,6,168.29999999999998,42.09,0
2024-01-24,7,168.29999999999998,51.58,0
2024-01-24,8,168.29999999999998,50.76,0
2024-01-24,9,168.29999999999998,50.1,0
2024-01-24,10,168.29999999999998,50.78,0
2024-01-24,11,168.29999999999998,39.32,0
2024-01-24,12,168.29999999999998,36.44,0
2024-01-24,13,168.29999999999998,45.04,0
2024-01-24,14,168.29999999999998,49.95,0
2024-01-24,15,168.29999999999998,50.8,0
2024-01-24,16,168.29999999999998,54.21,0
2024-01-24,17,168.29999999999998,53.32,0
2024-01-24,18,168.29999999999998,50.09,0
2024-01-24,19,168.29999999999998,42.18,0
2024-01-24,20,168.29999999999998,40.04,0
2024-01-24,21,168.29999999999998,42.01,0
2024-01-24,22,168.29999999999998,38.53,0
2024-01-24,23,168.29999999999998,44.34,0
2024-01-25,0,168.29999999999998,45.06,0
2024-01-25,1,168.29999999999998,43.34,0
2024-01-25,2,168.29999999999998,44.92,0
2024-01-25,3,168.29999999999998,46.22,0
2024-01-25,4,168.29999999999998,52.38,0
2024-01-25,5,168.29999999999998,69.1,0
2024-01-25,6,168.29999999999998,77.65,0
2024-01-25,7,168.21526384162905,91.87,0
2024-01-25,8,167.30208215332033,87.97,0
2024-01-25,9,161.50549526309968,83.95,0
2024-01-25,10,99.02722143173217,78.66,0
2024-01-25,11,100.94949560165405,74.95,0
2024-01-25,12,90.29104831695557,77.86,0
2024-01-25,13,71.1885771560669,87.07,0
2024-01-25,14,56.22597901153564,93.91,0
2024-01-25,15,45.569851389884946,102.46,0
2024-01-25,16,30.935842103004454,123.38,0
2024-01-25,17,35.450986387252804,115.54,0
2024-01-25,18,33.360421010971066,98.79,0
2024-01-25,19,39.92135620880127,91.07,0
2024-01-25,20,48.47983612060547,86.31,0
