Date (GMT+2),DE (TenneT) Load decrease (current-induced),DE (TenneT) Load decrease (voltage-induced)
,Energy (MWh),Energy (MWh)
2024-10-20T10:15+02:00,-50,
2024-10-20T10:30+02:00,-50,
2024-10-20T10:45+02:00,-50,
2024-10-20T11:00+02:00,-150,
2024-10-20T11:15+02:00,-150,
2024-10-20T11:30+02:00,-150,
2024-10-20T11:45+02:00,-150,
2024-10-20T12:00+02:00,-204.25,
2024-10-20T12:15+02:00,-204.25,
2024-10-20T12:30+02:00,-204.25,
2024-10-20T12:45+02:00,-204.25,
2024-10-20T13:00+02:00,-130.25,
2024-10-20T13:15+02:00,-130.25,
2024-10-20T13:30+02:00,-130.25,
2024-10-20T13:45+02:00,-130.25,
2024-10-20T14:00+02:00,-179.25,
2024-10-20T14:15+02:00,-198.75,
2024-10-20T14:30+02:00,-207.25,
2024-10-20T14:45+02:00,-226.75,
2024-10-20T15:00+02:00,-242.25,
2024-10-20T15:15+02:00,-276.75,
2024-10-20T15:30+02:00,-349.25,
2024-10-20T15:45+02:00,-396.25,
2024-10-20T16:00+02:00,-481,
2024-10-20T16:15+02:00,-566.25,
2024-10-20T16:30+02:00,-644.5,
2024-10-20T16:45+02:00,-649.5,
2024-10-20T17:00+02:00,-682.25,
2024-10-20T17:15+02:00,-682.25,
2024-10-20T17:30+02:00,-687.25,
2024-10-20T17:45+02:00,-692.25,
2024-10-20T18:00+02:00,-613.75,
2024-10-20T18:15+02:00,-613.75,
2024-10-20T18:30+02:00,-628.25,
2024-10-20T18:45+02:00,-650.75,
2024-10-20T19:00+02:00,-638.75,
2024-10-20T19:15+02:00,-638.75,
2024-10-20T19:30+02:00,-638.75,
2024-10-20T19:45+02:00,-638.75,
2024-10-20T20:00+02:00,-672,
2024-10-20T20:15+02:00,-672,
2024-10-20T20:30+02:00,-672,
2024-10-20T20:45+02:00,-672,
2024-10-20T21:00+02:00,-454.75,
2024-10-20T21:15+02:00,-433,
2024-10-20T21:30+02:00,-433,
2024-10-20T21:45+02:00,-433,
2024-10-20T22:00+02:00,-579.5,
2024-10-20T22:15+02:00,-579.5,
2024-10-20T22:30+02:00,-579.5,
2024-10-20T22:45+02:00,-541.75,
2024-10-20T23:00+02:00,-648.5,
2024-10-20T23:15+02:00,-648.5,
2024-10-20T23:30+02:00,-666,
2024-10-20T23:45+02:00,-666,
2024-10-21T00:00+02:00,-12.5,
2024-10-21T00:15+02:00,-12.5,
2024-10-21T00:30+02:00,-12.5,
2024-10-21T00:45+02:00,-12.5,
2024-10-21T01:00+02:00,-12.5,
2024-10-21T01:15+02:00,-12.5,
2024-10-21T01:30+02:00,-20,
2024-10-21T01:45+02:00,-20,
2024-10-21T02:00+02:00,-20,
2024-10-21T02:15+02:00,-20,
2024-10-21T02:30+02:00,-20,
2024-10-21T02:45+02:00,-20,
2024-10-21T03:00+02:00,-20,
2024-10-21T03:15+02:00,-20,
2024-10-21T03:30+02:00,-20,
2024-10-21T03:45+02:00,-20,
2024-10-21T04:00+02:00,-20,
2024-10-21T04:15+02:00,-20,
2024-10-21T04:30+02:00,-20,
2024-10-21T04:45+02:00,-20,
2024-10-21T05:00+02:00,-20,
2024-10-21T05:15+02:00,-20,
2024-10-21T05:30+02:00,-20,
2024-10-21T05:45+02:00,-20,
2024-10-21T06:00+02:00,-222.5,
2024-10-21T06:15+02:00,-343,
2024-10-21T06:30+02:00,-390.25,
2024-10-21T06:45+02:00,-387.5,
2024-10-21T07:00+02:00,-294,
2024-10-21T07:15+02:00,-298,
2024-10-21T07:30+02:00,-293.25,
2024-10-21T07:45+02:00,-292.75,
2024-10-21T08:00+02:00,-419,
2024-10-21T08:15+02:00,-443.5,
2024-10-21T08:30+02:00,-440,
2024-10-21T08:45+02:00,-438,
2024-10-21T09:00+02:00,-167,
2024-10-21T09:15+02:00,-154.5,
2024-10-21T09:30+02:00,-174.5,
2024-10-21T09:45+02:00,-193.25,
2024-10-21T10:00+02:00,-216.75,
2024-10-21T10:15+02:00,-216.75,
2024-10-21T10:30+02:00,-216.75,
