valid_time,wind_speed,number,expver,hour,month
2024-01-16 08:00:00,4.2634726,0,0001,8,1
2024-01-16 09:00:00,4.1122165,0,0001,9,1
2024-01-16 10:00:00,2.6604602,0,0001,10,1
2024-01-16 11:00:00,2.3927686,0,0001,11,1
2024-01-16 12:00:00,3.2271936,0,0001,12,1
2024-01-16 13:00:00,5.175673,0,0001,13,1
2024-01-16 14:00:00,6.6636925,0,0001,14,1
2024-01-16 15:00:00,7.828701,0,0001,15,1
2024-01-16 16:00:00,8.512531,0,0001,16,1
2024-01-16 17:00:00,9.350498,0,0001,17,1
2024-01-16 18:00:00,9.715619,0,0001,18,1
2024-01-16 19:00:00,10.399907,0,0001,19,1
2024-01-16 20:00:00,10.95058,0,0001,20,1
2024-01-16 21:00:00,11.336181,0,0001,21,1
2024-01-16 22:00:00,12.538426,0,0001,22,1
2024-01-16 23:00:00,13.37744,0,0001,23,1
2024-01-17 00:00:00,13.834399,0,0001,0,1
2024-01-17 01:00:00,14.943059,0,0001,1,1
2024-01-17 02:00:00,16.06917,0,0001,2,1
2024-01-17 03:00:00,16.739882,0,0001,3,1
2024-01-17 04:00:00,17.240923,0,0001,4,1
2024-01-17 05:00:00,17.33663,0,0001,5,1
2024-01-17 06:00:00,16.406437,0,0001,6,1
2024-01-17 07:00:00,14.544691,0,0001,7,1
2024-01-17 08:00:00,12.496459,0,0001,8,1
2024-01-17 09:00:00,11.013355,0,0001,9,1
2024-01-17 10:00:00,9.39499,0,0001,10,1
2024-01-17 11:00:00,8.433471,0,0001,11,1
2024-01-17 12:00:00,7.0773153,0,0001,12,1
2024-01-17 13:00:00,6.312132,0,0001,13,1
2024-01-17 14:00:00,5.438319,0,0001,14,1
2024-01-17 15:00:00,4.9014444,0,0001,15,1
2024-01-17 16:00:00,4.6599092,0,0001,16,1
2024-01-17 17:00:00,4.807874,0,0001,17,1
2024-01-17 18:00:00,4.9619174,0,0001,18,1
2024-01-17 19:00:00,4.6375055,0,0001,19,1
2024-01-17 20:00:00,4.295859,0,0001,20,1
2024-01-17 21:00:00,4.2484665,0,0001,21,1
2024-01-17 22:00:00,3.8469858,0,0001,22,1
2024-01-17 23:00:00,4.132075,0,0001,23,1
2024-01-18 00:00:00,4.592939,0,0001,0,1
2024-01-18 01:00:00,4.443469,0,0001,1,1
2024-01-18 02:00:00,4.812635,0,0001,2,1
2024-01-18 03:00:00,6.16626,0,0001,3,1
2024-01-18 04:00:00,6.9385266,0,0001,4,1
2024-01-18 05:00:00,6.401831,0,0001,5,1
2024-01-18 06:00:00,5.9835668,0,0001,6,1
2024-01-18 07:00:00,7.200461,0,0001,7,1
2024-01-18 08:00:00,8.062405,0,0001,8,1
2024-01-18 09:00:00,7.1930523,0,0001,9,1
2024-01-18 10:00:00,6.4686985,0,0001,10,1
2024-01-18 11:00:00,6.381923,0,0001,11,1
2024-01-18 12:00:00,6.6732526,0,0001,12,1
2024-01-18 13:00:00,6.874767,0,0001,13,1
2024-01-18 14:00:00,6.981898,0,0001,14,1
2024-01-18 15:00:00,7.704857,0,0001,15,1
2024-01-18 16:00:00,7.7503824,0,0001,16,1
2024-01-18 17:00:00,7.6610966,0,0001,17,1
2024-01-18 18:00:00,8.759898,0,0001,18,1
2024-01-18 19:00:00,10.061929,0,0001,19,1
2024-01-18 20:00:00,10.497192,0,0001,20,1
2024-01-18 21:00:00,10.854737,0,0001,21,1
2024-01-18 22:00:00,11.1729555,0,0001,22,1
2024-01-18 23:00:00,11.6494,0,0001,23,1
2024-01-19 00:00:00,11.988127,0,0001,0,1
2024-01-19 01:00:00,12.500436,0,0001,1,1
2024-01-19 02:00:00,13.38285,0,0001,2,1
2024-01-19 03:00:00,12.723294,0,0001,3,1
2024-01-19 04:00:00,11.71788,0,0001,4,1
2024-01-19 05:00:00,12.147524,0,0001,5,1
2024-01-19 06:00:00,12.313151,0,0001,6,1
2024-01-19 07:00:00,11.280504,0,0001,7,1
2024-01-19 08:00:00,11.194568,0,0001,8,1
2024-01-19 09:00:00,12.152479,0,0001,9,1
2024-01-19 10:00:00,12.536095,0,0001,10,1
2024-01-19 11:00:00,11.91643,0,0001,11,1
2024-01-19 12:00:00,12.235946,0,0001,12,1
2024-01-19 13:00:00,12.576364,0,0001,13,1
2024-01-19 14:00:00,13.851158,0,0001,14,1
2024-01-19 15:00:00,14.427398,0,0001,15,1
2024-01-19 16:00:00,14.073241,0,0001,16,1
2024-01-19 17:00:00,14.900124,0,0001,17,1
2024-01-19 18:00:00,15.674998,0,0001,18,1
2024-01-19 19:00:00,15.403739,0,0001,19,1
2024-01-19 20:00:00,14.682142,0,0001,20,1
2024-01-19 21:00:00,15.235026,0,0001,21,1
2024-01-19 22:00:00,16.41049,0,0001,22,1
2024-01-19 23:00:00,16.690462,0,0001,23,1
2024-01-20 00:00:00,15.725937,0,0001,0,1
2024-01-20 01:00:00,15.706041,0,0001,1,1
2024-01-20 02:00:00,15.605009,0,0001,2,1
2024-01-20 03:00:00,15.854473,0,0001,3,1
2024-01-20 04:00:00,16.138725,0,0001,4,1
2024-01-20 05:00:00,15.909315,0,0001,5,1
2024-01-20 06:00:00,15.642917,0,0001,6,1
2024-01-20 07:00:00,15.057235,0,0001,7,1
2024-01-20 08:00:00,14.250834,0,0001,8,1
2024-01-20 09:00:00,13.821594,0,0001,9,1
2024-01-20 10:00:00,12.7970495,0,0001,10,1
2024-01-20 11:00:00,13.186172,0,0001,11,1
2024-01-20 12:00:00,13.251967,0,0001,12,1
2024-01-20 13:00:00,12.952398,0,0001,13,1
2024-01-20 14:00:00,12.880592,0,0001,14,1
2024-01-20 15:00:00,12.895892,0,0001,15,1
2024-01-20 16:00:00,13.089428,0,0001,16,1
2024-01-20 17:00:00,13.068507,0,0001,17,1
2024-01-20 18:00:00,12.993698,0,0001,18,1
2024-01-20 19:00:00,12.844185,0,0001,19,1
2024-01-20 20:00:00,12.581778,0,0001,20,1
2024-01-20 21:00:00,12.071193,0,0001,21,1
2024-01-20 22:00:00,12.300728,0,0001,22,1
2024-01-20 23:00:00,12.7221155,0,0001,23,1
2024-01-21 00:00:00,12.50813,0,0001,0,1
2024-01-21 01:00:00,12.800107,0,0001,1,1
2024-01-21 02:00:00,13.20319,0,0001,2,1
2024-01-21 03:00:00,13.451088,0,0001,3,1
2024-01-21 04:00:00,13.503678,0,0001,4,1
2024-01-21 05:00:00,13.905866,0,0001,5,1
2024-01-21 06:00:00,14.346547,0,0001,6,1
2024-01-21 07:00:00,14.691559,0,0001,7,1
2024-01-21 08:00:00,15.15627,0,0001,8,1
2024-01-21 09:00:00,15.561953,0,0001,9,1
2024-01-21 10:00:00,14.741476,0,0001,10,1
2024-01-21 11:00:00,14.953122,0,0001,11,1
2024-01-21 12:00:00,15.093443,0,0001,12,1
2024-01-21 13:00:00,15.392632,0,0001,13,1
2024-01-21 14:00:00,15.263326,0,0001,14,1
2024-01-21 15:00:00,15.467033,0,0001,15,1
2024-01-21 16:00:00,15.93196,0,0001,16,1
2024-01-21 17:00:00,15.992918,0,0001,17,1
2024-01-21 18:00:00,16.185946,0,0001,18,1
2024-01-21 19:00:00,16.586521,0,0001,19,1
2024-01-21 20:00:00,17.360603,0,0001,20,1
2024-01-21 21:00:00,17.895897,0,0001,21,1
2024-01-21 22:00:00,18.738834,0,0001,22,1
2024-01-21 23:00:00,18.444094,0,0001,23,1
2024-01-22 00:00:00,19.574375,0,0001,0,1
2024-01-22 01:00:00,20.199743,0,0001,1,1
2024-01-22 02:00:00,20.729496,0,0001,2,1
2024-01-22 03:00:00,21.442068,0,0001,3,1
2024-01-22 04:00:00,22.117226,0,0001,4,1
2024-01-22 05:00:00,22.570591,0,0001,5,1
